OBJECTID,CSA2010,hhpov15,hhpov16,hhpov17,hhpov18,hhpov19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,24.14712154,21.28264805,20.69506141,23.00293882,19.17769642,63770461.78,38770.16557
2,Beechfield/Ten Hills/West Hills,11.16965227,11.58984636,10.47490738,10.90342679,8.822507815,47882527.71,37524.95053
3,Belair-Edison,18.61207126,19.59215281,20.2745771,22.83194512,22.52559727,44950030.47,31307.31484
4,Brooklyn/Curtis Bay/Hawkins Point,28.35956416,26.3337469,24.21360644,21.54316272,24.59571267,176077742.7,150987.7036
5,Canton,2.9986053,2.260273973,3.661784288,2.04638472,2.21642764,15408538.22,23338.61195
6,Cedonia/Frankford,16.85602533,15.10777521,12.18214075,10.4486308,10.87641282,71541340.31,39962.54983
7,Cherry Hill,45.53299492,41.05090312,39.33701657,39.48339483,37.76,29144181.35,22305.30207
8,Chinquapin Park/Belvedere,8.852459016,10.16324381,10.12591815,6.603275225,7.59559979,21022590.13,21705.41163
9,Claremont/Armistead,21.26623377,23.58634743,24,24.63984103,23.88475836,61243774.42,40104.41598
10,Clifton-Berea,23.62606232,29.24208145,27.64952781,28.40909091,19.2,23285233.93,24022.76462
11,Cross-Country/Cheswolde,8.116545265,7.147862649,9.894121942,9.211420802,7.803006076,38222018.32,26788.30188
12,Dickeyville/Franklintown,21.18863049,17.69547325,17.40890688,12.1171771,6.145966709,35719112.41,31637.81742
13,Dorchester/Ashburton,18.81679389,15.35493827,17.44510978,15.78093306,14.70588235,34118277.18,27136.07571
14,Downtown/Seton Hill,5.454545455,7.086614173,6.818181818,5.696202532,3.744493392,20736554.41,21565.85939
15,Edmondson Village,15.98339388,11.05743425,8.887733888,9.914011128,10.40164779,23563061.04,21504.55136
16,Fells Point,6.164383562,3.791174643,3.263546798,4.851425106,5.743000718,12620515.72,27670.16992
17,Forest Park/Walbrook,20.34058657,18.94293732,19.26267281,17.76027997,16.75724638,37200535.03,36886.89978
18,Glen-Fallstaff,19.79638009,20.2957379,17.76393832,16.7974426,16.9470405,46995477.48,48549.00462
19,Greater Charles Village/Barclay,23.84708738,25.95462092,18.99141631,17.94478528,13.18897638,27051213.46,26454.26921
20,Greater Govans,21.31557036,19.2692475,19.53226505,17.98872995,20.5,22698495.72,22982.12571
21,Greater Mondawmin,18.3074266,17.17226436,18.76832845,19.48571429,17.41671537,33663448.28,31136.73189
22,Greater Roland Park/Poplar Hill,3.752759382,3.634361233,2.146892655,1.583710407,1.351351351,56688145.18,39862.7498
23,Greater Rosemont,21.32921175,23.89354932,23.63387978,24.88105234,26.43212951,42204384.54,32559.07622
24,Greenmount East,25.82099163,24.18006431,24.20062696,23.43042071,25.54599603,19072287.82,20797.47346
25,Hamilton,8.697007481,10.9202454,8.997655334,6.147159267,6.035021889,45191100.56,27712.11109
26,Harbor East/Little Italy,38.10444874,31.06134372,26.85827552,28.9791438,25.45454545,10215859.08,18552.40758
