OBJECTID,CSA2010,ppac10,ppac15,ppac16,ppac17,ppac18,ppac19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,0.456311278288216,0.0435323383084577,0,0,0.103268132669177,0.236165188,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,0.383235485975212,0.434391851408029,0.566532115289285,0.313643492,0.412749369410685,0.5368396483,47882527.7110596,37524.9505334171
3,Belair-Edison,0.275608635737253,0.215384615384615,0.686075647297459,0.81127733,0.807934473728199,1.361834167,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,0.709120269606122,1.14863940927116,1.09858340560856,1.310077519,0.889922232021165,0.701754386,176077742.748718,150987.703638772
5,Canton,0.37037037037037,0.238453815261044,0.415546321192862,0.564496757,0.470821459546524,0.339435083,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,0.382052043978435,0.282688494156365,0.00862552292232717,0.067934783,0.112607915919422,0.1263089272,71541340.3063965,39962.5498347165
7,Cherry Hill,0.292611558156547,0.257581079498888,0.210343974263796,0,0,0.2910699732,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,0.644662197008767,0,0,0,0.237501484384277,0.2099370189,21022590.1307373,21705.411630344
9,Claremont/Armistead,0.874741829668327,0.57609217474796,0.57316250842886,0.611653611,1.03762708311497,0.9023146332,61243774.4211426,40104.415980189
10,Clifton-Berea,0.253190196475592,0.499227386188042,0.535490486498804,0.06599934,0.106584557081951,1.117384145,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,0.368267607794998,0.749143835616438,0.301182693014031,0.502784653,0.9168840849795,1.795876136,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,0.633991709339186,1.24635375232034,1.1507156890261,0.804073975,0.415692387633151,0.5623721881,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,0.415747497030375,0.535759843524109,0.510204081632653,0.3509673,0.463246219736037,0.482262547,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,0.620539869686627,2.67207847116523,5.22471017945053,4.194091535,3.18489695921602,2.464281033,20736554.4064941,21565.859394559
15,Edmondson Village,0.367088607594937,0.840336134453782,1.2311901504788,0.784313725,0.751126690035052,0.2980625931,23563061.0443115,21504.551357829
16,Fells Point,0.674853412988162,0.440528634361234,0.326975476839237,0.35815064,0.276566322731624,0,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,0.365519342065184,0.12085255987695,0.10307153164296,0.049231981,0.0453514739229024,0.08468197215,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,0.657100710741585,1.50884495317378,0.424793586215149,0.785471912,0.422632940137513,0.3694102398,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,0.57348544933195,0.948296690021744,0.896155010596427,0.996393423,0.451145672563219,0.5641402992,27051213.4559937,26454.2692113332
20,Greater Govans,0.552382735698905,0,0.0764672146817052,0.111888112,0.110926234054353,0.09502993443,22698495.7178955,22982.125714974
21,Greater Mondawmin,0.418365157691483,0.269280482550625,0.47293746715712,0.429090109,0.283966797728265,0.1327580485,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,0.244001626677511,0.721784776902887,0.828371731814652,0.957377049,1.86202277294038,1.524639259,56688145.1790161,39862.7497953118
23,Greater Rosemont,0.275196012254011,0.108758236837055,0.270725544459151,0.23057413,0.205761316872428,0.1692047377,42204384.5406494,32559.0762211491
24,Greenmount East,0.329912023460411,0.23403978676375,0.240202275600506,0.203743792,0.396615547329455,0.3873897943,19072287.8240967,20797.4734578598
25,Hamilton,0.68451007537302,0.504189219248165,0.505651397977394,0.432713111,0.162999185004074,0.5188569658,45191100.5593872,27712.1110915054
