OBJECTID,CSA2010,prop11,prop12,prop13,prop14,prop15,prop16,prop17,prop18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,33.6683726953197,31.5718073626441,33.9150274403404,44.5212,43.8428809274218,32.681753715237,39.7730776345809,41.7463155947462,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,28.9465101108937,29.5988258317025,28.7018917155903,38.7312,28.9465101108936,30.5772994129158,32.6157860404435,33.3496412263536,37524.9505333862,47882527.7112373
3,Belair-Edison,43.0064308681672,37.7239320165365,43.2935231970602,45.418,39.3890675241157,36.9200734956361,41.5135507579237,38.0110243454295,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,57.7827704837464,46.9002316927614,43.7407849469915,40.0899,42.2663764656322,53.4999648950361,67.4717405041072,61.0826370848838,150987.70363871,176077742.748461
5,Canton,57.1604938271605,51.2345679012346,49.1358024691358,39.5062,46.5432098765432,37.1604938271604,33.4567901234567,49.5061728395062,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,37.1014984930169,34.554484866494,39.5211614382137,38.842,41.4738718852145,34.554484866494,42.7898289255847,38.587256441822,39962.5498346887,71541340.306082
7,Cherry Hill,42.5505974152646,39.5025603511339,33.162643257742,37.0641,36.3326018044379,40.5998536942209,38.7710314557425,46.2082418922214,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,26.3022176379577,35.4564208354822,32.8777720474471,37.9061,44.7395564724084,31.5884476534296,31.4595152140278,27.3336771531717,21705.411630324,21022590.1303212
9,Claremont/Armistead,50.5406390475033,40.0923338597983,41.6717288300328,35.9616,35.8401166322439,41.3072530676709,45.8024541367999,38.8774146519256,40104.4159801772,61243774.4204004
10,Clifton-Berea,37.4721490783877,36.4593882924853,40.2066032003241,36.7632,41.2193639862264,42.2321247721288,41.5231922219971,41.4219161434069,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,14.0402025471843,13.5031456191499,16.1117078410312,13.9635,22.4796685591529,19.5642166641092,17.1858216970998,12.2755869264999,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,36.0887588393075,29.5049987807852,29.7488417459156,21.2143,24.628139478176,25.3596683735674,21.945866861741,20.4828090709583,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,34.2779568980146,35.2112676056338,38.7748175801799,42.7626,36.7385033090106,37.3324283047683,39.6232818598337,33.4294926183608,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,242.941358982315,266.521874030406,220.912193608439,179.957,185.696556003723,195.314923983865,185.386286068879,202.606267452684,21565.8593945388,20736554.4071934
15,Edmondson Village,30.379746835443,32.6582278481013,27.4683544303797,29.7468,32.0253164556962,21.6455696202531,36.3291139240506,28.9873417721519,21504.5513578719,23563061.0426838
16,Fells Point,70.3617656820445,73.5700851864144,61.7324925323598,56.9753,62.6175461887376,39.9380462440535,45.3589998893682,54.430799867242,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,33.5059396893086,35.0289369479135,37.5672657122551,37.7703,39.4963955731546,38.3795309168443,36.7550005076657,35.2320032490608,36886.899781185,37200535.0297002
18,Glen-Fallstaff,40.1636046667561,41.638728711278,44.9242322649859,39.8284,40.7670645031514,39.6271959232935,49.215502212686,40.3647579455545,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,52.1017631627112,53.0168995180282,54.1150631444085,51.5527,49.173326825697,50.6375449942041,43.1334268806052,51.5526813495211,26454.2692113378,27051213.4555493
20,Greater Govans,29.0234996723153,33.1429641419343,29.772493212246,30.6151,37.2624286115532,24.9040352026963,36.2325624941484,27.9936335549106,22982.1257150065,22698495.7172767
21,Greater Mondawmin,85.0675820639348,71.0148036901952,67.4747908174212,74.233,74.8766359150396,68.3329757562754,54.0656511478223,54.0656511478224,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,24.9423885048123,27.3824047715874,28.3312999864444,26.0268,23.4512674528941,22.7734851565677,21.8245899417107,19.113460756405,39862.7497953315,56688145.179702
23,Greater Rosemont,47.4064073939457,43.0967339944961,42.9409626668051,43.3564,46.8352458590788,44.5505997196116,43.8755906329508,43.460200425775,32559.0762212062,42204384.5422658
24,Greenmount East,51.6862170087977,61.3391984359726,51.6862170087977,46.1877,52.4193548387096,55.8406647116324,51.6862170087976,41.6666666666667,20797.473457859,19072287.8238042
25,Hamilton,37.9172435009999,34.9177049684664,36.3021073680972,39.9169,37.1481310567604,26.8420243039532,35.5329949238578,27.6111367481926,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,141.298316996486,112.076937303495,119.474754947291,129.462,126.872572591085,84.7050120214536,69.169594969484,86.9243573145922,18552.4075815481,10215859.0840198
27,Harford/Echodale,37.4131480491716,34.1469208385296,35.1564819763644,34.5626,34.5032365342359,27.4956945186768,34.206306787814,25.7735019894293,40019.1854001864,65360039.1701278
28,Highlandtown,54.8965517241379,55.3103448275862,74.3448275862069,67.0345,76.8275862068965,62.7586206896551,69.7931034482758,75.448275862069,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,35.3168398785984,37.3402004966431,45.2497010944541,36.5125,37.0642876850915,35.8686655017014,41.2949507955486,33.8453048836568,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,70.633994554648,84.636328276935,75.6903928432517,68.3781,54.4535200311162,54.4535200311162,44.4185141968105,55.3092182030338,43415.0595477941,24995836.2620936
31,Lauraville,38.5398842988674,33.3251853662511,35.1992177951601,32.5104,33.1622260246068,27.2142100545913,33.4066650370732,25.9105353214373,34419.6765281197,49665744.2382935
32,Loch Raven,29.7825093070342,33.7665730520541,31.2846972764679,34.681,29.5865717458036,20.6387564496113,26.7128208477565,22.3368819802756,29314.3346718106,44147812.3259686
33,Madison/East End,52.5639377971983,51.5357923146125,59.2468834340059,46.5236,55.5198560596324,57.9617015807736,89.3201387996401,63.2309471790258,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,37.6121463077985,37.2670807453416,46.1237635150679,42.0405,44.6859903381642,39.049919484702,36.0593512767425,40.5452035886819,43152.6256992199,62441489.2397897
35,Midtown,85.6191744340879,81.4247669773635,74.7669773635153,70.506,66.9773635153129,63.5818908122503,58.5885486018641,60.2529960053262,25020.0969697781,23823949.929494
36,Midway/Coldstream,49.9792186201164,52.1612635078969,45.9268495428096,49.148,55.2784704904405,40.5236907730673,48.1088944305901,49.8753117206983,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,51.5394912985274,45.4038375725123,48.0812137438644,46.7425,52.5435073627844,63.3645693886657,52.5435073627844,55.1093261936635,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,26.5092879256966,30.9597523219814,26.3157894736842,26.5093,35.6037151702786,27.0897832817337,35.6037151702786,31.1532507739938,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,24.2785158039395,21.9880897847,29.2029317453046,26.4544,33.6120018323408,25.7672927164452,22.7324782409528,16.032982134677,42904.2221443837,74923987.6939622
40,Northwood,35.0898275551283,30.9439403953614,27.0984798413748,34.1885,30.5834284684251,21.750886258487,27.579162410623,23.6135312143243,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,74.6432491767289,64.4646242889931,61.0717493264145,54.6852,66.1610617702824,72.9468116954395,71.0507933339986,76.3396866580182,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,75.1286825101303,66.9149052677691,71.6241375533895,60.8915,75.8953017194173,79.2903296462599,75.3477165699266,79.5093637060563,47825.8629265765,89894372.2114828
43,Patterson Park North & East,61.172589181387,61.172589181387,69.6267784727473,56.6362,72.7197745549522,68.1833803010516,83.85456045089,62.9596535844388,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,44.7869259412495,50.7860984691767,43.7525858502276,41.0633,46.9590401323955,48.820852296235,47.8899462143152,46.8556061232933,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,37.914691943128,38.3378469871361,42.3155044008125,36.9837,39.4380501015572,42.7386594448205,39.8612051455653,34.2755585646581,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,59.7719229256783,46.9917420369642,58.0023594180102,58.7888,57.6091230829728,50.3342508847817,49.7443963822257,50.5308690523004,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,42.6288936627282,40.3464017185822,44.4414607948443,41.8904,44.9785177228786,46.4554242749731,37.0569280343716,37.9296455424275,20987.1433066415,23672092.8680536
48,South Baltimore,37.7770839837652,49.7970652513269,44.3334374024352,47.1433,38.0892912894161,27.9425538557602,21.3862004370902,30.1280049953169,68440.0258267645,46353935.42529
49,Southeastern,53.1948881789137,48.2428115015974,49.2012779552716,70.2875,81.4696485623003,75.5591054313099,72.8434504792332,79.8722044728434,102291.480547452,111251478.472831
